3.1231 	INFO 	Keyboard events cleared
3.1224 	EXP 	fixation: autoDraw = False
3.1224 	EXP 	grating: autoDraw = True
3.2918 	DATA 	Keypress: left
3.3052 	EXP 	fixation: autoDraw = False
3.3052 	EXP 	grating: autoDraw = False
3.3052 	EXP 	grating: ori = 7.0
3.3052 	EXP 	fixation: autoDraw = True
3.5582 	DATA 	Keypress: right
3.8049 	INFO 	Keyboard events cleared
3.8044 	EXP 	fixation: autoDraw = False
3.8044 	EXP 	grating: autoDraw = True
4.1048 	EXP 	grating: autoDraw = False
4.3594 	DATA 	Keypress: left
4.3706 	EXP 	fixation: autoDraw = False
4.3706 	EXP 	grating: autoDraw = False
4.3706 	EXP 	grating: ori = 8.0
4.3706 	EXP 	fixation: autoDraw = True
4.8117 	DATA 	Keypress: right
4.8710 	INFO 	Keyboard events cleared
4.8707 	EXP 	fixation: autoDraw = False
4.8707 	EXP 	grating: autoDraw = True
5.1700 	EXP 	grating: autoDraw = False
5.2912 	DATA 	Keypress: left
5.3031 	EXP 	fixation: autoDraw = False
5.3031 	EXP 	grating: autoDraw = False
5.3031 	EXP 	grating: ori = 9.0
5.3031 	EXP 	fixation: autoDraw = True
5.7243 	DATA 	Keypress: right
5.8040 	INFO 	Keyboard events cleared
5.8035 	EXP 	fixation: autoDraw = False
5.8035 	EXP 	grating: autoDraw = True
6.1025 	EXP 	grating: autoDraw = False
6.1285 	DATA 	Keypress: left
6.1361 	EXP 	fixation: autoDraw = False
6.1361 	EXP 	grating: autoDraw = False
6.1361 	EXP 	grating: ori = 10.0
6.1361 	EXP 	fixation: autoDraw = True
6.6360 	INFO 	Keyboard events cleared
6.6356 	EXP 	fixation: autoDraw = False
6.6356 	EXP 	grating: autoDraw = True
6.9355 	EXP 	grating: autoDraw = False
7.0591 	DATA 	Keypress: right
7.0686 	EXP 	fixation: autoDraw = False
7.0686 	EXP 	grating: autoDraw = False
7.0686 	EXP 	grating: ori = 10.0
7.0686 	EXP 	fixation: autoDraw = True
7.4910 	DATA 	Keypress: left
7.5691 	INFO 	Keyboard events cleared
7.5687 	EXP 	fixation: autoDraw = False
7.5687 	EXP 	grating: autoDraw = True
7.8680 	EXP 	grating: autoDraw = False
7.9895 	DATA 	Keypress: right
8.0011 	EXP 	fixation: autoDraw = False
8.0011 	EXP 	grating: autoDraw = False
8.0011 	EXP 	grating: ori = -10.0
8.0011 	EXP 	fixation: autoDraw = True
8.3575 	DATA 	Keypress: left
8.5012 	INFO 	Keyboard events cleared
8.5008 	EXP 	fixation: autoDraw = False
8.5008 	EXP 	grating: autoDraw = True
8.6394 	DATA 	Keypress: right
8.6502 	EXP 	fixation: autoDraw = False
8.6502 	EXP 	grating: autoDraw = False
8.6502 	EXP 	grating: ori = -11.0
8.6502 	EXP 	fixation: autoDraw = True
9.1212 	DATA 	Keypress: left
9.1506 	INFO 	Keyboard events cleared
9.1503 	EXP 	fixation: autoDraw = False
9.1503 	EXP 	grating: autoDraw = True
9.4499 	EXP 	grating: autoDraw = False
10.4884 	DATA 	Keypress: right
10.4991 	EXP 	fixation: autoDraw = False
10.4991 	EXP 	grating: autoDraw = False
10.4991 	EXP 	grating: ori = -12.0
10.4991 	EXP 	fixation: autoDraw = True
10.9992 	INFO 	Keyboard events cleared
10.9988 	EXP 	fixation: autoDraw = False
10.9988 	EXP 	grating: autoDraw = True
11.2989 	EXP 	grating: autoDraw = False
12.4012 	DATA 	Keypress: right
12.4145 	EXP 	fixation: autoDraw = False
12.4145 	EXP 	grating: autoDraw = False
12.4145 	EXP 	grating: ori = -13.0
