stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0.5,17.0,17.494232199998805,,17.48065250000218,17.494232199998805,17.993952300021192,17.993952300021192,17.993952300021192,,18.146967800013954,right,17.0,0,0,0.1442160000151489,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
26,0.5,17.5,18.160470000002533,,18.147025500016753,18.160470000002533,18.660074700019322,18.660074700019322,18.660074700019322,,18.74698100000387,left,-17.5,1,1,0.08270709999487735,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
27,0.5,17.5,18.760178299999097,,18.747065300005488,18.760178299999097,19.25970630001393,19.25970630001393,19.25970630001393,19.559338100021705,19.563583800016204,left,-17.5,1,1,0.3001510000030976,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
28,0.5,17.5,19.575884599995334,,19.563673500000732,19.575884599995334,20.076377399993362,20.076377399993362,20.076377399993362,,20.262001600000076,left,-17.5,1,1,0.18226530001265928,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
29,0.5,17.0,20.275463500001933,,20.26207820000127,20.275463500001933,20.775080100022024,20.775080100022024,20.775080100022024,,20.944829300016863,left,-17.0,1,1,0.15265530001488514,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
30,0.5,17.0,20.958578499994474,,20.944891799998004,20.958578499994474,21.457966899994062,21.457966899994062,21.457966899994062,,21.594149700016715,right,17.0,0,0,0.13469160001841374,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
31,0.5,17.5,21.60822460000054,,21.594376799999736,21.60822460000054,22.10752700001467,22.10752700001467,22.10752700001467,,22.24361060000956,left,-17.5,1,1,0.13293809999595396,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
32,0.5,17.5,22.257229900016682,,22.243665800022427,22.257229900016682,22.75659330000053,22.75659330000053,22.75659330000053,,22.859760000021197,right,17.5,0,0,0.09171280000009574,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
33,0.5,18.0,22.873326700006146,,22.859827500011306,22.873326700006146,23.373238500003936,23.373238500003936,23.373238500003936,,23.577014200011035,right,18.0,0,0,0.19986640001297928,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
34,0.5,18.5,23.589255600003526,,23.577091900020605,23.589255600003526,24.08899879999808,24.08899879999808,24.08899879999808,,24.224369300005492,right,18.5,0,0,0.1212805999966804,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
35,0.5,19.0,24.238727000018116,,24.224435600015568,24.238727000018116,24.73881030001212,24.73881030001212,24.73881030001212,,24.925740200007567,left,-19.0,1,1,0.17355599999427795,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
36,0.5,19.0,24.938259700022172,,24.925930400000652,24.938259700022172,25.438066700007766,25.438066700007766,25.438066700007766,,25.692883900017478,right,19.0,0,0,0.23834650000208057,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
37,0.5,19.5,25.704781700012973,,25.692984099994646,25.704781700012973,26.204180600005202,26.204180600005202,26.204180600005202,,26.37395180002204,right,19.5,0,0,0.16847099998267367,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
38,0.5,20.0,26.38721380001516,,26.374012900021626,26.38721380001516,26.886949500010815,26.886949500010815,26.886949500010815,,27.05593860000954,right,20.0,0,0,0.15689600000041537,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
39,0.5,20.0,27.069855200010352,,27.05601250001928,27.069855200010352,27.569586500001606,27.569586500001606,27.569586500001606,,27.738410699996166,left,-20.0,1,1,0.1677071000158321,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
40,0.5,20.0,27.752463300013915,,27.738461600005394,27.752463300013915,28.25240820000181,28.25240820000181,28.25240820000181,28.55198700001347,28.53955380001571,left,-20.0,1,1,0.27306949999183416,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
41,0.5,20.0,28.55198700001347,,28.539639599999646,28.55198700001347,29.05172030001995,29.05172030001995,29.05172030001995,,29.254824000003282,left,-20.0,1,1,0.19229269999777898,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
42,0.5,19.5,29.267891099996632,,29.25489720000769,29.267891099996632,29.76760419999482,29.76760419999482,29.76760419999482,,29.988243100000545,right,19.5,0,0,0.2136430999962613,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
43,0.5,20.0,30.000839800020913,,29.988334499998018,30.000839800020913,30.500616200006334,30.500616200006334,30.500616200006334,,30.67255820002174,left,-20.0,1,1,0.15929189999587834,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
44,0.5,20.0,30.683238400000846,,30.672614400013117,30.683238400000846,31.18347790002008,31.18347790002008,31.18347790002008,,31.33780380000826,right,20.0,0,0,0.14581159999943338,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
45,0.5,20.0,31.349524499994004,,31.337885800021468,31.349524499994004,31.848937200004002,31.848937200004002,31.848937200004002,,32.03624509999645,left,-20.0,1,1,0.1796801000018604,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
46,0.5,20.0,32.048648299998604,,32.03632060001837,32.048648299998604,32.5496206000098,32.5496206000098,32.5496206000098,,32.70365430001402,right,20.0,0,0,0.13700499999686144,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
47,0.5,20.0,32.715671100013424,,32.70374650001759,32.715671100013424,33.21467440002016,33.21467440002016,33.21467440002016,,33.38532050000504,right,20.0,0,0,0.16088270000182092,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
48,0.5,20.0,33.397867000021506,,33.385379600018496,33.397867000021506,33.89718530001119,33.89718530001119,33.89718530001119,,34.05059749999782,left,-20.0,1,1,0.14423299999907613,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
49,0.5,20.0,34.063903500005836,,34.05065140000079,34.063903500005836,34.564102200005436,34.564102200005436,34.564102200005436,,34.63425730000017,right,20.0,0,0,0.06659460000810213,457379,001,2024-09-06_12h31.27.043,stair adaptive,2024.1.5,None,2024-09-06 12h31.33.700326 +0530,
